id,age,healthy_eating,active_lifestyle,salary,months_of_exp,sex
825,47,5,3,2761,267.0,female
826,32,4,9,788,6.0,male
827,27,3,4,1366,39.0,male
828,28,5,9,1369,125.0,male
829,51,6,6,2646,117.0,female
830,62,7,10,2300,226.0,female
831,41,0,4,1478,90.0,female
832,47,4,8,1020,179.0,male
833,52,8,8,3345,211.0,female
834,61,7,6,3228,194.0,female
835,39,7,5,3460,237.0,male
836,41,4,1,2643,272.0,male
837,40,4,8,1020,20.0,female
838,63,4,7,1252,123.0,female
839,27,5,5,2297,98.0,male
840,31,6,8,2182,150.0,female
841,33,6,6,2646,136.0,female
842,61,4,7,1252,58.0,male
843,41,5,6,2065,71.0,female
844,18,1,5,1128,73.0,male
845,46,3,9,894,174.0,male
846,32,3,9,894,8.0,male
847,32,9,7,4158,244.0,female
848,58,5,7,1833,106.0,male
849,59,7,8,2764,182.0,female
850,45,4,8,1020,16.0,female
851,36,4,1,2643,239.0,female
852,42,3,5,1134,99.0,male
853,54,3,5,1134,32.0,male
854,26,8,3,4505,358.0,male
855,35,9,7,4158,319.0,female
856,22,6,3,3342,330.0,male
857,43,3,5,1134,68.0,female
858,44,3,5,1134,35.0,female
859,41,3,8,662,64.0,female
860,30,5,2,2993,147.0,female
861,33,5,8,1601,132.0,male
862,63,6,7,2414,162.0,male
863,47,6,9,1950,105.0,female
864,22,5,2,2993,271.0,male
865,48,4,5,1716,159.0,male
866,57,6,6,2646,285.0,male
867,55,5,7,1833,94.0,female
868,47,3,3,1598,62.0,male
869,42,5,4,2529,302.0,female
870,40,4,4,1948,250.0,male
871,21,5,3,2761,215.0,female
872,19,4,4,1948,204.0,female
873,18,0,3,1246,171.0,male
874,36,2,2,1249,53.0,male
875,48,2,6,779,132.0,female
876,42,6,2,3574,351.0,male
877,30,3,8,662,66.0,male
878,32,1,7,1592,174.0,female
879,30,6,2,3574,259.0,female
880,30,10,4,5435,360.0,male
881,44,6,5,2878,164.0,male
882,30,2,4,785,11.0,male
883,47,8,8,3345,258.0,male
884,28,4,6,1484,164.0,male
885,33,7,6,3228,178.0,female
886,34,7,5,3460,300.0,female
887,26,2,8,1243,71.0,male
888,39,3,8,662,141.0,male
889,25,6,6,2646,282.0,male
890,44,6,9,1950,140.0,male
891,55,4,6,1484,130.0,female
892,18,1,6,1360,181.0,male
893,49,6,7,2414,288.0,female
894,57,4,5,1716,154.0,male
895,30,9,5,4622,358.0,female
896,33,5,3,2761,224.0,male
897,59,5,4,2529,254.0,female
898,48,1,9,2056,264.0,male
899,42,7,9,2532,164.0,female
900,39,6,6,2646,169.0,male
901,50,7,3,3923,356.0,female
902,31,2,3,1017,116.0,male
903,28,8,7,3577,239.0,female
904,56,6,5,2878,314.0,female
905,46,8,7,3577,351.0,female
906,38,3,4,1366,211.0,female
907,35,4,7,1252,73.0,female
908,25,2,5,553,65.0,female
909,35,3,6,902,124.0,male
910,21,2,5,553,47.0,male
911,59,6,6,2646,241.0,male
912,24,5,3,2761,122.0,female
913,64,6,5,2878,255.0,female
914,19,5,1,3225,171.0,female
915,45,9,6,4390,319.0,female
916,19,4,6,1484,150.0,male
917,38,4,7,1252,69.0,female
918,25,9,6,4390,280.0,female
919,26,4,6,1484,125.0,male
920,64,5,4,2529,278.0,female
921,43,3,7,670,100.0,female
922,22,4,4,1948,250.0,female
923,32,7,6,3228,327.0,male
924,57,3,8,662,41.0,male
925,57,2,7,1011,56.0,male
926,34,4,3,2179,124.0,female
927,56,2,5,553,9.0,female
928,44,6,6,2646,163.0,female
929,26,7,8,2764,303.0,male
930,58,4,6,1484,59.0,male
931,39,6,5,2878,310.0,male
932,25,6,6,2646,308.0,female
933,59,7,4,3691,331.0,female
934,24,8,8,3345,233.0,male
935,48,6,7,2414,176.0,female
936,49,4,7,1252,146.0,female
937,25,7,6,3228,340.0,male
938,26,2,4,785,7.0,female
939,54,6,7,2414,234.0,male
940,24,6,7,2414,287.0,male
941,54,7,4,3691,214.0,male
942,41,6,3,3342,342.0,female
943,54,3,8,662,105.0,male
944,46,2,8,1243,166.0,female
945,56,5,7,1833,158.0,female
946,18,2,6,779,55.0,male
947,26,10,4,5435,360.0,male
948,31,6,5,2878,171.0,male
949,55,4,6,1484,63.0,male
950,45,4,9,788,35.0,male
951,59,7,7,2996,135.0,male
952,36,4,5,1716,206.0,female
953,19,10,8,4508,262.0,female
954,60,8,6,3809,355.0,male
955,31,5,7,1833,134.0,male
956,23,6,2,3574,297.0,male
957,39,5,4,2529,150.0,female
958,55,2,7,1011,182.0,female
959,29,6,0,4038,357.0,female
960,57,2,6,779,146.0,female
961,38,3,3,1598,38.0,male
962,46,7,5,3460,268.0,male
963,54,4,3,2179,191.0,female
964,61,5,6,2065,174.0,male
965,43,7,8,2764,160.0,male
966,32,8,5,4041,239.0,male
967,62,4,7,1252,107.0,male
968,39,4,6,1484,110.0,female
969,45,4,7,1252,171.0,female
970,36,4,8,1020,13.0,male
971,33,2,8,1243,194.0,male
972,56,6,3,3342,268.0,female
973,47,3,6,902,18.0,female
974,64,10,5,5204,338.0,male
975,43,4,6,1484,218.0,female
976,20,6,4,3110,227.0,female
977,59,2,6,779,6.0,male
978,61,3,6,902,9.0,female
979,18,7,8,2764,243.0,male
980,58,5,5,2297,215.0,male
981,31,5,9,1369,208.0,male
982,50,9,5,4622,342.0,male
983,29,5,6,2065,168.0,female
984,32,3,9,894,81.0,male
985,52,4,3,2179,175.0,male
986,27,6,7,2414,275.0,female
987,50,5,5,2297,105.0,male
988,60,4,6,1484,199.0,female
989,44,3,5,1134,153.0,male
990,20,3,4,1366,63.0,male
991,38,8,6,3809,248.0,female
992,30,6,3,3342,257.0,male
993,56,5,5,2297,258.0,female
994,52,5,7,1833,224.0,female
995,33,7,7,2996,240.0,female
996,21,1,2,667,69.0,male
997,49,9,7,4158,298.0,female
998,56,6,7,2414,268.0,female
999,64,4,9,788,94.0,male
