Číslo závady,EC_SVE,EČ objektu,Katastr,Ulice,Sektor závady,Rok závady,Datum nahlášení závady,Typ závady,Plánovaný termín opravy,Stav opravy,Způsob opravy,Datum opravy
718,S-0812-011,R-1082-001,Jehnice,OŘEŠÍNSKÁ,Brno - západ,2 016,5.4.2016,R poškozen,12.4.2016,Definitivní,R oprava RS,5.4.2016
719,S-1534-031,,Ořešín,KLIMEŠOVA,Brno - západ,2 016,5.4.2016,S svítidlo-nesvítí,12.4.2016,Definitivní,S výměna světelného zdroje,6.4.2016
720,S-1714-161,Z-355,Slatina,OSTRAVSKÁ,Brno - východ,2 016,5.4.2016,Z zapnulo před časem zapnutí,12.4.2016,Definitivní,při kontrole vše v pořádku,6.4.2016
721,S-1493-039,Z-444,Slatina,ŘÍPSKÁ,Brno - východ,2 016,5.4.2016,Z porucha proudového snímače,12.4.2016,Definitivní,Z nastavení masky,6.4.2016
722,S-1493-048,Z-630,Slatina,ŘÍPSKÁ,Brno - východ,2 016,5.4.2016,Z porucha proudového snímače,12.4.2016,Definitivní,jiná závada,6.4.2016
723,S-1485-036,,Stránice,ÚVOZ,Brno - západ,2 016,5.4.2016,SO nekomunikuje čip,12.4.2016,Definitivní,při kontrole vše v pořádku,6.4.2016
724,S-1309-037,,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,5.4.2016,S svítidlo-bliká,12.4.2016,Definitivní,S výměna zapalovače,6.4.2016
725,S-0565-061,,Staré Brno,KŘÍDLOVICKÁ,Brno - východ,2 016,5.4.2016,S svítidlo-bliká,12.4.2016,Definitivní,S výměna světelného zdroje,6.4.2016
726,S-0345-006,,Město Brno,JAKUBSKÉ NÁMĚSTÍ,Brno - východ,2 016,5.4.2016,S svítidlo-nesvítí,12.4.2016,Definitivní,S výměna světelného zdroje,6.4.2016
727,S-1282-013,Z-572,Bystrc,VONDRÁKOVA,Brno - západ,2 016,6.4.2016,Z vypadený jistící prvek,13.4.2016,Definitivní,vypadený jistící prvek,6.4.2016
728,S-0971-008,,Královo Pole,RIEGROVA,Brno - západ,2 016,6.4.2016,S svítidlo-nesvítí,13.4.2016,Definitivní,S výměna světelného zdroje,7.4.2016
729,S-0019-019,,Maloměřice,BABICKÁ,Brno - východ,2 016,6.4.2016,S svítidlo-nesvítí,13.4.2016,Definitivní,vypadený jistící prvek,7.4.2016
730,S-1309-452,Z-556,Přízřenice,VÍDEŇSKÁ,Brno - západ,2 016,6.4.2016,Z výpadek přívodního napájení,13.4.2016,Definitivní,vadné prvky silové části,6.4.2016
731,S-0725-008,,Bohunice,NA PÍSKOVÉ CESTĚ,Brno - západ,2 016,6.4.2016,"S patice-poškozena, chybí",13.4.2016,Definitivní,S montáž patice,7.4.2016
732,S-1188-002,Z-490,Žabovřesky,TÁBOR,Brno - západ,2 016,6.4.2016,Z nekomunikuje,13.4.2016,Definitivní,Z obnovena komunikace,6.4.2016
733,S-0687-065,,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,7.4.2016,S svítidlo-nesvítí,14.4.2016,Definitivní,S výměna světelného zdroje,7.4.2016
734,S-0584-035,Z-265,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,7.4.2016,Z porucha regulace,14.4.2016,Definitivní,Z regulace seřízena,7.4.2016
735,S-1493-040,Z-444,Slatina,ŘÍPSKÁ,Brno - východ,2 016,7.4.2016,"Z vypnuta regulace, viz.poznámka",14.4.2016,Definitivní,Z regulace zapnuta,7.4.2016
736,S-0274-035,,Královo Pole,HERČÍKOVA,Brno - západ,2 016,7.4.2016,S svítidlo-nesvítí,14.4.2016,Definitivní,S výměna zapalovače,8.4.2016
737,S-0683-017,Z-299,Líšeň,MOLÁKOVA,Brno - východ,2 016,7.4.2016,Z porucha sign. přív. napětí,14.4.2016,Definitivní,Z obnovena komunikace,8.4.2016
738,S-0584-113,Z-266,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,8.4.2016,"Z vypnuta regulace, viz.poznámka",15.4.2016,Definitivní,patří jinému dodavateli,8.4.2016
739,S-0327-034,Z-153,Slatina,HVIEZDOSLAVOVA,Brno - východ,2 016,8.4.2016,viz. poznámka,15.4.2016,Definitivní,při kontrole vše v pořádku,8.4.2016
740,S-1471-032,,Bohunice,ŠVERMOVA,Brno - západ,2 016,8.4.2016,S svítidlo-nesvítí,15.4.2016,Definitivní,S výměna světelného zdroje,11.4.2016
741,S-0584-114,Z-266,Kohoutovice,LIBUŠINA TŘÍDA,Brno - západ,2 016,8.4.2016,Z výpadek přívodního napájení,15.4.2016,Definitivní,Z obnovení dodávky el. energie,8.4.2016
742,S-0654-060,Z-287,Černá Pole,MERHAUTOVA,Brno - východ,2 016,8.4.2016,Z vybitá PLC baterie,15.4.2016,Definitivní,Z výměna baterie,11.4.2016
743,S-1093-030,Z-462,Kohoutovice,STAMICOVA,Brno - západ,2 016,8.4.2016,Z vypadený jistící prvek,15.4.2016,Definitivní,S výměna svorkovnice,11.4.2016
744,S-1714-161,Z-355,Slatina,OSTRAVSKÁ,Brno - východ,2 016,9.4.2016,Z zapnulo před časem zapnutí,16.4.2016,Definitivní,Z výměna zdroje,11.4.2016
745,S-0789-232,Z-341,Černovice,OLOMOUCKÁ,Brno - východ,2 016,9.4.2016,"Z vypnuta regulace, viz.poznámka",16.4.2016,Definitivní,jiná závada,11.4.2016
746,S-0586-045,Z-269,Kohoutovice,LIBUŠINO ÚDOLÍ,Brno - západ,2 016,9.4.2016,Z vypadený jistící prvek,16.4.2016,Provizorní,kabelová porucha 2,11.4.2016
747,S-0974-010,Z-434,Židenice,ROKYTOVA,Brno - východ,2 016,9.4.2016,Z vypadený jistící prvek,16.4.2016,Definitivní,S výměna svorkovnice,11.4.2016
748,S-0974-010,Z-434,Židenice,ROKYTOVA,Brno - východ,2 016,9.4.2016,"Z vypnuta regulace, porucha síťě",16.4.2016,Definitivní,S výměna svorkovnice,11.4.2016
749,S-0504-019,Z-229,Královo Pole,KOŠINOVA,Brno - západ,2 016,10.4.2016,viz. poznámka,17.4.2016,Definitivní,jiná závada,29.4.2016
750,S-1285-009,,Kohoutovice,VOŘÍŠKOVA,Brno - západ,2 016,10.4.2016,"nesvítí celá ulice, oblast",17.4.2016,Definitivní,neopraveno,11.4.2016
751,S-0229-034,Z-103,Žabovřesky,GABRIELY PREISSOVÉ,Brno - západ,2 016,10.4.2016,Z vybitá PLC baterie,17.4.2016,Definitivní,Z výměna baterie,11.4.2016
752,S-1609-039,,Trnitá,ČERNOVICKÉ NÁBŘEŽÍ,Brno - východ,2 016,10.4.2016,S svítidlo-nesvítí,17.4.2016,Definitivní,S výměna světelného zdroje,11.4.2016
753,S-0741-027,Z-324,Bohunice,NEUŽILOVA,Brno - západ,2 016,11.4.2016,Z nekomunikuje,18.4.2016,Definitivní,jiná závada,11.4.2016
754,S-0119-004,,Zábrdovice,CEJL,Brno - východ,2 016,11.4.2016,S svítidlo-rozbité,18.4.2016,Definitivní,S oprava svítidla,11.4.2016
755,S-0670-017,Z-294,Zábrdovice,MILADY HORÁKOVÉ,Brno - východ,2 016,11.4.2016,Z vypadený jistící prvek,18.4.2016,Provizorní,kabelová porucha 1,12.4.2016
756,S-0741-027,Z-324,Bohunice,NEUŽILOVA,Brno - západ,2 016,11.4.2016,Z nekomunikuje,18.4.2016,Definitivní,Z výměna zdroje,11.4.2016
757,S-0687-034,,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,11.4.2016,S svítidlo-bliká,18.4.2016,Definitivní,S výměna světelného zdroje,12.4.2016
758,S-1182-016,,Židenice,TVRDONICKÁ,Brno - východ,2 016,11.4.2016,"S patice-poškozena, chybí",18.4.2016,Definitivní,S montáž patice,12.4.2016
759,S-0741-025,Z-324,Bohunice,NEUŽILOVA,Brno - západ,2 016,11.4.2016,Z zapnulo před časem zapnutí,18.4.2016,Definitivní,při kontrole vše v pořádku,12.4.2016
760,S-0231-008,,Královo Pole,GALANDAUEROVA,Brno - západ,2 016,12.4.2016,S svítidlo-nesvítí,19.4.2016,Definitivní,S výměna světelného zdroje,13.4.2016
761,S-1112-007,,Slatina,STRÁŽNICKÁ,Brno - východ,2 016,12.4.2016,"S patice-poškozena, chybí",19.4.2016,Definitivní,S montáž patice,13.4.2016
762,S-0741-027,Z-324,Bohunice,NEUŽILOVA,Brno - západ,2 016,12.4.2016,Z nekomunikuje,19.4.2016,Definitivní,Z obnovena komunikace,13.4.2016
763,S-0527-010,Z-235,Žabovřesky,KRÁLOVA,Brno - západ,2 016,12.4.2016,Z vypadený jistící prvek,19.4.2016,Definitivní,vypadený jistící prvek,12.4.2016
764,S-0536-018,Z-252,Líšeň,KUBÍKOVA,Brno - východ,2 016,13.4.2016,Z vypadený jistící prvek,20.4.2016,Provizorní,kabelová porucha 1,13.4.2016
765,S-0782-021,,Maloměřice,OBŘANSKÁ,Brno - východ,2 016,13.4.2016,S svítidlo-nesvítí,20.4.2016,Definitivní,S oprava svítidla,14.4.2016
766,S-0626-001,,Židenice,MARIE KUDEŘÍKOVÉ,Brno - východ,2 016,13.4.2016,S svítidlo-rozbité,20.4.2016,Definitivní,S výměna svítidla,14.4.2016
767,S-0887-009,Z-407,Komárov,POMPOVA,Brno - východ,2 016,13.4.2016,viz. poznámka,20.4.2016,Definitivní,Z nastavení elektroměru,14.4.2016
768,S-1269-013,,Slatina,VLNITÁ,Brno - východ,2 016,13.4.2016,S svítidlo-nesvítí,20.4.2016,Definitivní,S výměna světelného zdroje,14.4.2016
769,S-1716-060,Z-368,Nový Lískovec,PETRA KŘIVKY,Brno - západ,2 016,14.4.2016,Z vypadený jistící prvek,21.4.2016,Definitivní,jiná závada,14.4.2016
770,S-0687-057,,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,14.4.2016,S svítidlo-nesvítí,21.4.2016,Definitivní,S výměna světelného zdroje,18.4.2016
771,S-0394-022,,Lesná,JURKOVIČOVA,Brno - východ,2 016,15.4.2016,"dvířka-poškozena, chybí",22.4.2016,Definitivní,S montáž dvířek,15.4.2016
772,S-0687-104,,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,15.4.2016,S svítidlo-rozbité,22.4.2016,Definitivní,při kontrole vše v pořádku,18.4.2016
773,S-0282-055,Z-127,Pisárky,HLINKY,Brno - západ,2 016,16.4.2016,Z vypadený jistící prvek,23.4.2016,Definitivní,vypadený jistící prvek,18.4.2016
774,S-1922-031,,Medlánky,HRÁZKA,Brno - západ,2 016,16.4.2016,S svítidlo-nesvítí,23.4.2016,Definitivní,S výměna světelného zdroje,18.4.2016
775,S-1491-021,Z-443,Komín,ŘEZÁČOVA,Brno - západ,2 016,16.4.2016,Z vybitá záložní baterie,23.4.2016,Definitivní,Z výměna baterie,18.4.2016
776,S-1716-060,Z-368,Nový Lískovec,PETRA KŘIVKY,Brno - západ,2 016,17.4.2016,viz. poznámka,24.4.2016,Definitivní,Z výměna proudového snímače,18.4.2016
777,S-0431-014,,Židenice,KARÁSKOVO NÁMĚSTÍ,Brno - východ,2 016,17.4.2016,"dvířka-poškozena, chybí",24.4.2016,Definitivní,S montáž dvířek,18.4.2016
778,S-0604-007,,Žabovřesky,LUŽICKÁ,Brno - západ,2 016,17.4.2016,"nesvítí celá ulice, oblast",24.4.2016,Definitivní,vandalizmus,17.4.2016
779,S-1857-027,Z-648,Medlánky,V ÚJEZDECH,Brno - západ,2 016,17.4.2016,viz. poznámka,24.4.2016,Definitivní,při kontrole vše v pořádku,18.4.2016
780,S-0120-002,Z-054,Štýřice,CELNÍ,Brno - západ,2 016,17.4.2016,viz. poznámka,24.4.2016,Definitivní,při kontrole vše v pořádku,18.4.2016
781,S-0001-047,,Komín,ABSOLONOVA,Brno - západ,2 016,18.4.2016,S svítidlo-nesvítí,25.4.2016,Definitivní,při kontrole vše v pořádku,19.4.2016
782,S-0737-004,,Veveří,NERUDOVA,Brno - západ,2 016,18.4.2016,S svítidlo-bliká,25.4.2016,Definitivní,S výměna světelného zdroje,19.4.2016
783,S-0018-001,Z-009,Maloměřice,BAAROVO NÁBŘEŽÍ,Brno - východ,2 016,18.4.2016,Z vybitá záložní baterie,25.4.2016,Definitivní,Z výměna baterie,21.4.2016
784,S-0818-024,,Řečkovice,PALACKÉHO NÁMĚSTÍ,Brno - západ,2 016,18.4.2016,S svítidlo-nesvítí,25.4.2016,Definitivní,S výměna světelného zdroje,19.4.2016
785,S-0293-025,,Líšeň,HOLZOVA,Brno - východ,2 016,18.4.2016,S svítidlo-nesvítí,25.4.2016,Definitivní,S výměna světelného zdroje,19.4.2016
786,S-1055-049,,Královo Pole,SLOVANSKÉ NÁMĚSTÍ,Brno - západ,2 016,18.4.2016,S svítidlo-rozbité,25.4.2016,Definitivní,S výměna svítidla,23.9.2016
787,S-0793-051,Z-342,Líšeň,ONDRÁČKOVA,Brno - východ,2 016,18.4.2016,Z nekomunikuje,25.4.2016,Definitivní,Z obnovena komunikace RACOM,18.4.2016
788,S-1622-037,Z-025,Černá Pole,TŘÍDA GENERÁLA PÍKY,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
789,S-0097-013,Z-050,Veveří,BUREŠOVA,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
790,S-0069-040,Z-037,Ponava,BOTANICKÁ,Brno - západ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
791,S-1257-020,Z-547,Veveří,VEVEŘÍ,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
792,S-0169-060,Z-082,Černá Pole,DROBNÉHO,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
793,S-0492-001,Z-232,Veveří,KOUNICOVA,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
794,S-0914-002,Z-418,Černá Pole,PROVAZNÍKOVA,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
795,S-0587-038,Z-270,Veveří,LIDICKÁ,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
796,S-0607-101,Z-273,Černá Pole,LUŽÁNECKÁ,Brno - východ,2 016,18.4.2016,Z výpadek přívodního napájení,25.4.2016,Definitivní,Z obnovení dodávky el. energie,19.4.2016
797,S-0260-003,Z-114,Ivanovice,HATĚ,Brno - západ,2 016,19.4.2016,Z vybitá PLC baterie,26.4.2016,Definitivní,Z výměna baterie,19.4.2016
798,S-0282-055,Z-127,Pisárky,HLINKY,Brno - západ,2 016,19.4.2016,Z vypadený jistící prvek,26.4.2016,Definitivní,S výměna svorkovnice,19.4.2016
799,S-1714-107,Z-354,Slatina,OSTRAVSKÁ,Brno - východ,2 016,19.4.2016,"Z vypnuta regulace, viz.poznámka",26.4.2016,Definitivní,Z regulace zapnuta,19.4.2016
800,S-0556-002,,Zábrdovice,KÖRNEROVA,Brno - východ,2 016,19.4.2016,S svítidlo-bliká,26.4.2016,Definitivní,S výměna světelného zdroje,20.4.2016
801,S-0279-030,Z-126,Komín,HLAVNÍ,Brno - západ,2 016,19.4.2016,Z nelze odečíst elektroměr,26.4.2016,Definitivní,jiná závada,20.4.2016
802,S-1491-001,Z-442,Komín,ŘEZÁČOVA,Brno - západ,2 016,19.4.2016,Z nelze odečíst elektroměr,26.4.2016,Definitivní,jiná závada,20.4.2016
803,S-0482-056,Z-228,Královo Pole,KOSMOVA,Brno - západ,2 016,19.4.2016,Z nelze odečíst elektroměr,26.4.2016,Definitivní,jiná závada,20.4.2016
804,S-1714-107,Z-354,Slatina,OSTRAVSKÁ,Brno - východ,2 016,19.4.2016,Z výpadek nastavení masky,26.4.2016,Definitivní,jiná závada,20.4.2016
805,S-0465-014,Z-225,Město Brno,KOMENSKÉHO NÁMĚSTÍ,Brno - východ,2 016,20.4.2016,viz. poznámka,27.4.2016,Definitivní,jiná závada,22.4.2016
806,S-1526-001,Z-164,Žebětín,CHRPOVÁ,Brno - západ,2 016,20.4.2016,Z vybitá PLC baterie,27.4.2016,Definitivní,Z výměna baterie,21.4.2016
807,S-1008-004,,Královo Pole,SADOVSKÉHO,Brno - západ,2 016,20.4.2016,S svítidlo-bliká,27.4.2016,Definitivní,S výměna světelného zdroje,21.4.2016
808,S-0095-001,R-0095-002,Líšeň,BUKOVSKÉHO,Brno - východ,2 016,20.4.2016,S svítidlo-bliká,27.4.2016,Definitivní,S výměna světelného zdroje,21.4.2016
809,S-1057-004,,Veveří,SLOVÁKOVA,Brno - východ,2 016,20.4.2016,S svítidlo-bliká,27.4.2016,Definitivní,S výměna světelného zdroje,21.4.2016
810,S-0819-101,Z-358,Královo Pole,PALACKÉHO TŘÍDA,Brno - západ,2 016,20.4.2016,Z vybitá PLC baterie,27.4.2016,Definitivní,Z výměna baterie,21.4.2016
811,S-1491-021,Z-443,Komín,ŘEZÁČOVA,Brno - západ,2 016,20.4.2016,Z vybitá záložní baterie,27.4.2016,Definitivní,Z výměna baterie,21.4.2016
812,S-0175-004,,Husovice,DUKELSKÁ TŘÍDA,Brno - východ,2 016,20.4.2016,viz. poznámka,27.4.2016,Definitivní,S montáž dvířek,21.4.2016
813,S-0654-128,Z-289,Černá Pole,MERHAUTOVA,Brno - východ,2 016,20.4.2016,Z vypadený jistící prvek,27.4.2016,Definitivní,vypadený jistící prvek,20.4.2016
814,S-0308-034,,Žabovřesky,HRADECKÁ,Brno - západ,2 016,21.4.2016,S stožár-poškozen,28.4.2016,Provizorní,S oprava svítidla,21.4.2016
815,S-0298-014,Z-139,Žabovřesky,HOROVA,Brno - západ,2 016,21.4.2016,Z vybitá PLC baterie,28.4.2016,Definitivní,Z výměna baterie,21.4.2016
816,S-1552-045,,Kníničky,ONDROVA,Brno - západ,2 016,21.4.2016,S svítidlo-bliká,28.4.2016,Definitivní,S výměna světelného zdroje,22.4.2016
817,S-0681-004,Z-298,Soběšice,MOKROHORSKÁ,Brno - východ,2 016,21.4.2016,Z vybitá záložní baterie,28.4.2016,Definitivní,jiná závada,22.4.2016
818,S-1025-011,,Starý Lískovec,SEVASTOPOLSKÁ,Brno - západ,2 016,21.4.2016,S svítidlo-bliká,28.4.2016,Definitivní,S výměna světelného zdroje,22.4.2016
819,S-1025-012,,Starý Lískovec,SEVASTOPOLSKÁ,Brno - západ,2 016,21.4.2016,S svítidlo-bliká,28.4.2016,Definitivní,S výměna světelného zdroje,22.4.2016
820,S-1094-008,,Město Brno,STAROBRNĚNSKÁ,Brno - východ,2 016,21.4.2016,S svítidlo-nesvítí,28.4.2016,Definitivní,S výměna světelného zdroje,22.4.2016
821,S-0687-032,Z-303,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,22.4.2016,Z porucha sign. přív. napětí,29.4.2016,Definitivní,jiná závada,22.4.2016
822,S-0389-002,Z-193,Brněnské Ivanovice,JUBILEJNÍ,Brno - východ,2 016,22.4.2016,Z vypadený jistící prvek,29.4.2016,Definitivní,havárie,22.4.2016
823,S-0343-006,,Brněnské Ivanovice,JAHODOVÁ,Brno - východ,2 016,22.4.2016,S stožár-poškozen,29.4.2016,Definitivní,S výměna stožáru,18.5.2016
824,S-1179-061,,Tuřany,TUŘANKA,Brno - východ,2 016,22.4.2016,S stožár-poškozen,29.4.2016,Definitivní,havárie,22.4.2016
825,S-0039-014,Z-024,Město Brno,BENEŠOVA,Brno - východ,2 016,22.4.2016,Z nekomunikuje,29.4.2016,Definitivní,Z obnovena komunikace RACOM,22.4.2016
826,S-1288-004,Z-578,Komín,VRBENSKÉHO,Brno - západ,2 016,22.4.2016,Z výpadek napětí 24V,29.4.2016,Definitivní,jiná závada,22.4.2016
827,S-1305-005,,Židenice,VÁCLAVKOVA,Brno - východ,2 016,23.4.2016,"nesvítí celá ulice, oblast",30.4.2016,Definitivní,jiná závada,23.4.2016
828,S-1714-161,Z-355,Slatina,OSTRAVSKÁ,Brno - východ,2 016,25.4.2016,Z zapnulo před časem zapnutí,2.5.2016,Definitivní,jiná závada,27.4.2016
829,S-1622-001,Z-418,Černá Pole,TŘÍDA GENERÁLA PÍKY,Brno - východ,2 016,23.4.2016,R poškozen,30.4.2016,Definitivní,není v majetku TsB,23.4.2016
830,S-1418-079,Z-062,Bystrc,ČERNÉHO,Brno - západ,2 016,23.4.2016,Z vypadený jistící prvek,30.4.2016,Definitivní,vypadený jistící prvek,25.4.2016
831,S-1485-036,Z-531,Stránice,ÚVOZ,Brno - západ,2 016,23.4.2016,viz. poznámka,30.4.2016,Definitivní,jiná závada,25.4.2016
832,S-0687-031,Z-303,Město Brno,MORAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,23.4.2016,viz. poznámka,30.4.2016,Definitivní,S výměna světelného zdroje,25.4.2016
833,S-0461-079,Z-222,Trnitá,KOLIŠTĚ,Brno - východ,2 016,24.4.2016,Z vypadený jistící prvek,1.5.2016,Definitivní,vypadený jistící prvek,25.4.2016
834,S-0068-034,Z-035,Starý Lískovec,BOSONOŽSKÁ,Brno - západ,2 016,24.4.2016,Z zapnulo před časem zapnutí,1.5.2016,Definitivní,jiná závada,25.4.2016
835,S-1371-033,Z-587,Zábrdovice,ZÁBRDOVICKÁ,Brno - východ,2 016,24.4.2016,"Z vypnuta regulace, viz.poznámka",1.5.2016,Definitivní,Z regulace zapnuta,25.4.2016
836,S-0960-002,,Město Brno,RAŠÍNOVA,Brno - východ,2 016,24.4.2016,S svítidlo-nesvítí,1.5.2016,Definitivní,při kontrole vše v pořádku,25.4.2016
837,S-1092-002,Z-459,Královo Pole,SRBSKÁ,Brno - západ,2 016,25.4.2016,Z vybitá PLC baterie,2.5.2016,Definitivní,Z výměna baterie,25.4.2016
838,S-1603-005,,Pisárky,VÝŠINA,Brno - západ,2 016,25.4.2016,S svítidlo-rozbité,2.5.2016,Definitivní,S oprava svítidla,25.4.2016
839,S-0241-026,R-1105-001,Veveří,GORKÉHO,Brno - východ,2 016,25.4.2016,S svítidlo-bliká,2.5.2016,Definitivní,S výměna světelného zdroje,26.4.2016
840,S-0018-015,,Maloměřice,BAAROVO NÁBŘEŽÍ,Brno - východ,2 016,26.4.2016,"S patice-poškozena, chybí",3.5.2016,Definitivní,S montáž patice,27.4.2016
841,S-1503-169,Z-651,Pisárky,BAUEROVA,Brno - západ,2 016,26.4.2016,"Z vypnuta regulace, viz.poznámka",3.5.2016,Definitivní,Z regulace zapnuta,27.4.2016
842,S-0917-008,R-0917-006,Židenice,PRUŠÁNECKÁ,Brno - východ,2 016,26.4.2016,Z vypadený jistící prvek,3.5.2016,Provizorní,neopraveno,27.4.2016
843,S-1350-003,,Žabovřesky,ZELENÉHO,Brno - západ,2 016,26.4.2016,S svítidlo-bliká,3.5.2016,Definitivní,S výměna světelného zdroje,27.4.2016
844,S-1549-089,Z-336,Bystrc,OBVODOVÁ,Brno - západ,2 016,27.4.2016,Z porucha regulace,4.5.2016,Definitivní,Z regulace seřízena,27.4.2016
845,S-1549-041,Z-336,Bystrc,OBVODOVÁ,Brno - západ,2 016,27.4.2016,Z nekomunikuje,4.5.2016,Definitivní,Z obnovena komunikace,27.4.2016
846,S-0876-012,Z-404,Slatina,PODSTRÁNSKÁ,Brno - východ,2 016,27.4.2016,Z nekomunikuje,4.5.2016,Definitivní,Z obnovena komunikace RACOM,27.4.2016
847,S-1503-278,,Pisárky,BAUEROVA,Brno - západ,2 016,27.4.2016,S stožár-poškozen,4.5.2016,Definitivní,S výměna stožáru,20.7.2016
848,S-0899-038,Z-410,Žabovřesky,POZNAŇSKÁ,Brno - západ,2 016,27.4.2016,Z vybitá PLC baterie,4.5.2016,Definitivní,Z výměna baterie,28.4.2016
849,S-0362-014,Z-178,Židenice,JEDOVNICKÁ,Brno - východ,2 016,28.4.2016,Z vybitá PLC baterie,5.5.2016,Definitivní,Z výměna baterie,28.4.2016
850,S-0740-009,Z-323,Pisárky,NEUMANNOVA,Brno - západ,2 016,28.4.2016,Z vybitá PLC baterie,5.5.2016,Definitivní,Z výměna baterie,28.4.2016
851,S-1169-025,Z-249,Královo Pole,TRTÍLKOVA,Brno - východ,2 016,28.4.2016,Z porucha regulace,5.5.2016,Definitivní,Z regulace seřízena,28.4.2016
852,S-0904-005,,Bosonohy,PRAŽSKÁ,Brno - západ,2 016,28.4.2016,S svítidlo-bliká,5.5.2016,Definitivní,S výměna světelného zdroje,29.4.2016
853,S-0039-009,,Město Brno,BENEŠOVA,Brno - východ,2 016,28.4.2016,S stožár-poškozen,5.5.2016,Definitivní,při kontrole vše v pořádku,29.4.2016
854,S-1607-001,,Kníničky,PŘEHRADNÍ,Brno - západ,2 016,28.4.2016,Z porucha proudového snímače,5.5.2016,Definitivní,jiná závada,6.5.2016
855,S-1039-033,Z-450,Královo Pole,SKÁCELOVA,Brno - západ,2 016,28.4.2016,Z vypadený jistící prvek,5.5.2016,Definitivní,jiná závada,29.4.2016
856,S-0654-060,Z-287,Černá Pole,MERHAUTOVA,Brno - východ,2 016,29.4.2016,"Z vypnuta regulace, viz.poznámka",6.5.2016,Definitivní,Z regulace zapnuta,29.4.2016
857,S-1169-026,Z-249,Královo Pole,TRTÍLKOVA,Brno - východ,2 016,29.4.2016,"Z vypnuta regulace, viz.poznámka",6.5.2016,Definitivní,Z regulace zapnuta,29.4.2016
858,S-0424-005,R-0424-002,Město Brno,KAPUCÍNSKÉ NÁMĚSTÍ,Brno - východ,2 016,29.4.2016,S svítidlo-nesvítí,6.5.2016,Definitivní,S výměna světelného zdroje,29.4.2016
859,S-0960-002,,Město Brno,RAŠÍNOVA,Brno - východ,2 016,29.4.2016,S svítidlo-nesvítí,6.5.2016,Definitivní,S výměna světelného zdroje,29.4.2016
860,S-1714-161,Z-355,Slatina,OSTRAVSKÁ,Brno - východ,2 016,29.4.2016,Z zapnulo před časem zapnutí,6.5.2016,Definitivní,jiná závada,29.4.2016
861,S-0606-009,,Černá Pole,LUŽOVA,Brno - východ,2 016,29.4.2016,S svítidlo-bliká,6.5.2016,Definitivní,S výměna světelného zdroje,2.5.2016
862,S-0504-019,Z-229,Královo Pole,KOŠINOVA,Brno - západ,2 016,29.4.2016,"Z vypnuta regulace, porucha síťě",6.5.2016,Definitivní,jiná závada,12.5.2016
863,S-0389-002,,Brněnské Ivanovice,JUBILEJNÍ,Brno - východ,2 016,29.4.2016,Z vypadený jistící prvek,6.5.2016,Definitivní,jiná závada,29.4.2016
864,S-0389-002,,Brněnské Ivanovice,JUBILEJNÍ,Brno - východ,2 016,29.4.2016,Z porucha proudového snímače,6.5.2016,Definitivní,Z výměna proudového snímače,6.5.2016
865,S-1617-001,,Lesná,IBSENOVA,Brno - východ,2 016,30.4.2016,"Z vypnuta regulace, viz.poznámka",7.5.2016,Definitivní,Z výměna el. výzbroje,4.5.2016
866,S-0460-020,,Královo Pole,KOLEJNÍ,Brno - západ,2 016,30.4.2016,S svítidlo-bliká,7.5.2016,Definitivní,S výměna světelného zdroje,2.5.2016
867,S-1309-009,,Štýřice,VÍDEŇSKÁ,Brno - západ,2 016,30.4.2016,Z vypadený jistící prvek,7.5.2016,Definitivní,oprava kabelu,23.6.2016
868,S-0928-039,,Židenice,PÁLAVSKÉ NÁMĚSTÍ,Brno - východ,2 016,1.5.2016,S stožár-poškozen,8.5.2016,Definitivní,jiná závada,29.7.2016
