id,name,height,weight,color,shape,is baby,type 1,type 2,hp,attack,defense,speed
369,relicanth,1.0,23.4,gray,fish,False,Water,Rock,100,90,130,55
370,luvdisc,0.6,8.7,pink,fish,False,Water,,43,30,55,97
371,bagon,0.6,42.1,blue,humanoid,False,Dragon,,45,75,60,50
372,shelgon,1.1,110.5,white,quadruped,False,Dragon,,65,95,100,50
373,salamence,1.5,102.6,blue,quadruped,False,Dragon,Flying,95,135,80,100
374,beldum,0.6,95.2,blue,blob,False,Steel,Psychic,40,55,80,30
375,metang,1.2,202.5,blue,arms,False,Steel,Psychic,60,75,100,50
376,metagross,1.6,550.0,blue,heads,False,Steel,Psychic,80,135,130,70
377,regirock,1.7,230.0,brown,humanoid,False,Rock,,80,100,200,50
378,regice,1.8,175.0,blue,humanoid,False,Ice,,80,50,100,50
379,registeel,1.9,205.0,gray,humanoid,False,Steel,,80,75,150,50
380,latias,1.4,40.0,red,wings,False,Dragon,Psychic,80,80,90,110
381,latios,2.0,60.0,blue,wings,False,Dragon,Psychic,80,90,80,110
382,kyogre,4.5,352.0,blue,fish,False,Water,,100,100,90,90
383,groudon,3.5,950.0,red,upright,False,Ground,,100,150,140,90
384,rayquaza,7.0,206.5,green,squiggle,False,Dragon,Flying,105,150,90,95
385,jirachi,0.3,1.1,yellow,humanoid,False,Steel,Psychic,100,100,100,100
386,deoxys,1.7,60.8,red,humanoid,False,Psychic,,50,150,50,150
387,turtwig,0.4,10.2,green,quadruped,False,Grass,,55,68,64,31
388,grotle,1.1,97.0,green,quadruped,False,Grass,,75,89,85,36
389,torterra,2.2,310.0,green,quadruped,False,Grass,Ground,95,109,105,56
390,chimchar,0.5,6.2,brown,upright,False,Fire,,44,58,44,61
391,monferno,0.9,22.0,brown,upright,False,Fire,Fighting,64,78,52,81
392,infernape,1.2,55.0,brown,upright,False,Fire,Fighting,76,104,71,108
393,piplup,0.4,5.2,blue,humanoid,False,Water,,53,51,53,40
394,prinplup,0.8,23.0,blue,upright,False,Water,,64,66,68,50
395,empoleon,1.7,84.5,blue,upright,False,Water,Steel,84,86,88,60
396,starly,0.3,2.0,brown,wings,False,Normal,Flying,40,55,30,60
397,staravia,0.6,15.5,brown,wings,False,Normal,Flying,55,75,50,80
398,staraptor,1.2,24.9,brown,wings,False,Normal,Flying,85,120,70,100
399,bidoof,0.5,20.0,brown,quadruped,False,Normal,,59,45,40,31
400,bibarel,1.0,31.5,brown,upright,False,Normal,Water,79,85,60,71
401,kricketot,0.3,2.2,red,humanoid,False,Bug,,37,25,41,25
402,kricketune,1.0,25.5,red,bug-wings,False,Bug,,77,85,51,65
403,shinx,0.5,9.5,blue,quadruped,False,Electric,,45,65,34,45
404,luxio,0.9,30.5,blue,quadruped,False,Electric,,60,85,49,60
405,luxray,1.4,42.0,blue,quadruped,False,Electric,,80,120,79,70
406,budew,0.2,1.2,green,humanoid,True,Grass,Poison,40,30,35,55
407,roserade,0.9,14.5,green,humanoid,False,Grass,Poison,60,70,65,90
408,cranidos,0.9,31.5,blue,upright,False,Rock,,67,125,40,58
409,rampardos,1.6,102.5,blue,upright,False,Rock,,97,165,60,58
410,shieldon,0.5,57.0,gray,quadruped,False,Rock,Steel,30,42,118,30
411,bastiodon,1.3,149.5,gray,quadruped,False,Rock,Steel,60,52,168,30
412,burmy,0.2,3.4,green,blob,False,Bug,,40,29,45,36
413,wormadam,0.5,6.5,green,blob,False,Bug,Grass,60,59,85,36
414,mothim,0.9,23.3,yellow,bug-wings,False,Bug,Flying,70,94,50,66
415,combee,0.3,5.5,yellow,heads,False,Bug,Flying,30,30,42,70
416,vespiquen,1.2,38.5,yellow,bug-wings,False,Bug,Flying,70,80,102,40
417,pachirisu,0.4,3.9,white,quadruped,False,Electric,,60,45,70,95
418,buizel,0.7,29.5,brown,quadruped,False,Water,,55,65,35,85
419,floatzel,1.1,33.5,brown,quadruped,False,Water,,85,105,55,115
420,cherubi,0.4,3.3,pink,heads,False,Grass,,45,35,45,35
421,cherrim,0.5,9.3,purple,legs,False,Grass,,70,60,70,85
422,shellos,0.3,6.3,purple,squiggle,False,Water,,76,48,48,34
423,gastrodon,0.9,29.9,purple,squiggle,False,Water,Ground,111,83,68,39
424,ambipom,1.2,20.3,purple,upright,False,Normal,,75,100,66,115
425,drifloon,0.4,1.2,purple,arms,False,Ghost,Flying,90,50,34,70
426,drifblim,1.2,15.0,purple,arms,False,Ghost,Flying,150,80,44,80
427,buneary,0.4,5.5,brown,upright,False,Normal,,55,66,44,85
428,lopunny,1.2,33.3,brown,upright,False,Normal,,65,76,84,105
429,mismagius,0.9,4.4,purple,ball,False,Ghost,,60,60,60,105
430,honchkrow,0.9,27.3,black,wings,False,Dark,Flying,100,125,52,71
431,glameow,0.5,3.9,gray,quadruped,False,Normal,,49,55,42,85
432,purugly,1.0,43.8,gray,quadruped,False,Normal,,71,82,64,112
433,chingling,0.2,0.6,yellow,humanoid,True,Psychic,,45,30,50,45
434,stunky,0.4,19.2,purple,quadruped,False,Poison,Dark,63,63,47,74
435,skuntank,1.0,38.0,purple,quadruped,False,Poison,Dark,103,93,67,84
436,bronzor,0.5,60.5,green,ball,False,Steel,Psychic,57,24,86,23
437,bronzong,1.3,187.0,green,arms,False,Steel,Psychic,67,89,116,33
438,bonsly,0.5,15.0,brown,legs,True,Rock,,50,80,95,10
439,mime-jr,0.6,13.0,pink,humanoid,True,Psychic,Fairy,20,25,45,60
440,happiny,0.6,24.4,pink,humanoid,True,Normal,,100,5,5,30
441,chatot,0.5,1.9,black,wings,False,Normal,Flying,76,65,45,91
442,spiritomb,1.0,108.0,purple,blob,False,Ghost,Dark,50,92,108,35
443,gible,0.7,20.5,blue,upright,False,Dragon,Ground,58,70,45,42
444,gabite,1.4,56.0,blue,upright,False,Dragon,Ground,68,90,65,82
445,garchomp,1.9,95.0,blue,upright,False,Dragon,Ground,108,130,95,102
446,munchlax,0.6,105.0,black,humanoid,True,Normal,,135,85,40,5
447,riolu,0.7,20.2,blue,upright,True,Fighting,,40,70,40,60
448,lucario,1.2,54.0,blue,upright,False,Fighting,Steel,70,110,70,90
449,hippopotas,0.8,49.5,brown,quadruped,False,Ground,,68,72,78,32
450,hippowdon,2.0,300.0,brown,quadruped,False,Ground,,108,112,118,47
451,skorupi,0.8,12.0,purple,armor,False,Poison,Bug,40,50,90,65
452,drapion,1.3,61.5,purple,armor,False,Poison,Dark,70,90,110,95
453,croagunk,0.7,23.0,blue,humanoid,False,Poison,Fighting,48,61,40,50
454,toxicroak,1.3,44.4,blue,humanoid,False,Poison,Fighting,83,106,65,85
455,carnivine,1.4,27.0,green,tentacles,False,Grass,,74,100,72,46
456,finneon,0.4,7.0,blue,fish,False,Water,,49,49,56,66
457,lumineon,1.2,24.0,blue,fish,False,Water,,69,69,76,91
458,mantyke,1.0,65.0,blue,wings,True,Water,Flying,45,20,50,50
459,snover,1.0,50.5,white,upright,False,Grass,Ice,60,62,50,40
460,abomasnow,2.2,135.5,white,upright,False,Grass,Ice,90,92,75,60
461,weavile,1.1,34.0,black,upright,False,Dark,Ice,70,120,65,125
462,magnezone,1.2,180.0,gray,arms,False,Electric,Steel,70,70,115,60
463,lickilicky,1.7,140.0,pink,humanoid,False,Normal,,110,85,95,50
464,rhyperior,2.4,282.8,gray,upright,False,Ground,Rock,115,140,130,40
465,tangrowth,2.0,128.6,blue,humanoid,False,Grass,,100,100,125,50
466,electivire,1.8,138.6,yellow,upright,False,Electric,,75,123,67,95
467,magmortar,1.6,68.0,red,upright,False,Fire,,75,95,67,83
468,togekiss,1.5,38.0,white,wings,False,Fairy,Flying,85,50,95,80
469,yanmega,1.9,51.5,green,bug-wings,False,Bug,Flying,86,76,86,95
470,leafeon,1.0,25.5,green,quadruped,False,Grass,,65,110,130,95
471,glaceon,0.8,25.9,blue,quadruped,False,Ice,,65,60,110,65
472,gliscor,2.0,42.5,purple,wings,False,Ground,Flying,75,95,125,95
473,mamoswine,2.5,291.0,brown,quadruped,False,Ice,Ground,110,130,80,80
474,porygon-z,0.9,34.0,red,arms,False,Normal,,85,80,70,90
475,gallade,1.6,52.0,white,humanoid,False,Psychic,Fighting,68,125,65,80
476,probopass,1.4,340.0,gray,heads,False,Rock,Steel,60,55,145,40
477,dusknoir,2.2,106.6,black,arms,False,Ghost,,45,100,135,45
478,froslass,1.3,26.6,white,arms,False,Ice,Ghost,70,80,70,110
479,rotom,0.3,0.3,red,ball,False,Electric,Ghost,50,50,77,91
480,uxie,0.3,0.3,yellow,upright,False,Psychic,,75,75,130,95
481,mesprit,0.3,0.3,pink,upright,False,Psychic,,80,105,105,80
482,azelf,0.3,0.3,blue,upright,False,Psychic,,75,125,70,115
483,dialga,5.4,683.0,white,quadruped,False,Steel,Dragon,100,120,120,90
484,palkia,4.2,336.0,purple,upright,False,Water,Dragon,90,120,100,100
485,heatran,1.7,430.0,brown,quadruped,False,Fire,Steel,91,90,106,77
486,regigigas,3.7,420.0,white,humanoid,False,Normal,,110,160,110,100
487,giratina,4.5,750.0,black,tentacles,False,Ghost,Dragon,150,100,120,90
488,cresselia,1.5,85.6,yellow,squiggle,False,Psychic,,120,70,120,85
489,phione,0.4,3.1,blue,arms,False,Water,,80,80,80,80
490,manaphy,0.3,1.4,blue,humanoid,False,Water,,100,100,100,100
491,darkrai,1.5,50.5,black,humanoid,False,Dark,,70,90,90,125
492,shaymin,0.2,2.1,green,quadruped,False,Grass,,100,100,100,100
493,arceus,3.2,320.0,white,quadruped,False,Normal,,120,120,120,120
494,victini,0.4,4.0,yellow,humanoid,False,Psychic,Fire,100,100,100,100
495,snivy,0.6,8.1,green,upright,False,Grass,,45,45,55,63
496,servine,0.8,16.0,green,upright,False,Grass,,60,60,75,83
497,serperior,3.3,63.0,green,squiggle,False,Grass,,75,75,95,113
498,tepig,0.5,9.9,red,quadruped,False,Fire,,65,63,45,45
499,pignite,1.0,55.5,red,upright,False,Fire,Fighting,90,93,55,55
500,emboar,1.6,150.0,red,upright,False,Fire,Fighting,110,123,65,65
501,oshawott,0.5,5.9,blue,upright,False,Water,,55,55,45,45
502,dewott,0.8,24.5,blue,upright,False,Water,,75,75,60,60
503,samurott,1.5,94.6,blue,quadruped,False,Water,,95,100,85,70
504,patrat,0.5,11.6,brown,quadruped,False,Normal,,45,55,39,42
505,watchog,1.1,27.0,brown,upright,False,Normal,,60,85,69,77
506,lillipup,0.4,4.1,brown,quadruped,False,Normal,,45,60,45,55
507,herdier,0.9,14.7,gray,quadruped,False,Normal,,65,80,65,60
508,stoutland,1.2,61.0,gray,quadruped,False,Normal,,85,110,90,80
509,purrloin,0.4,10.1,purple,quadruped,False,Dark,,41,50,37,66
510,liepard,1.1,37.5,purple,quadruped,False,Dark,,64,88,50,106
511,pansage,0.6,10.5,green,upright,False,Grass,,50,53,48,64
512,simisage,1.1,30.5,green,upright,False,Grass,,75,98,63,101
513,pansear,0.6,11.0,red,upright,False,Fire,,50,53,48,64
514,simisear,1.0,28.0,red,upright,False,Fire,,75,98,63,101
515,panpour,0.6,13.5,blue,upright,False,Water,,50,53,48,64
516,simipour,1.0,29.0,blue,upright,False,Water,,75,98,63,101
517,munna,0.6,23.3,pink,quadruped,False,Psychic,,76,25,45,24
518,musharna,1.1,60.5,pink,humanoid,False,Psychic,,116,55,85,29
519,pidove,0.3,2.1,gray,wings,False,Normal,Flying,50,55,50,43
520,tranquill,0.6,15.0,gray,wings,False,Normal,Flying,62,77,62,65
521,unfezant,1.2,29.0,gray,wings,False,Normal,Flying,80,115,80,93
522,blitzle,0.8,29.8,black,quadruped,False,Electric,,45,60,32,76
523,zebstrika,1.6,79.5,black,quadruped,False,Electric,,75,100,63,116
524,roggenrola,0.4,18.0,blue,legs,False,Rock,,55,75,85,15
525,boldore,0.9,102.0,blue,tentacles,False,Rock,,70,105,105,20
526,gigalith,1.7,260.0,blue,tentacles,False,Rock,,85,135,130,25
527,woobat,0.4,2.1,blue,wings,False,Psychic,Flying,65,45,43,72
528,swoobat,0.9,10.5,blue,wings,False,Psychic,Flying,67,57,55,114
529,drilbur,0.3,8.5,gray,upright,False,Ground,,60,85,40,68
530,excadrill,0.7,40.4,gray,humanoid,False,Ground,Steel,110,135,60,88
531,audino,1.1,31.0,pink,upright,False,Normal,,103,60,86,50
532,timburr,0.6,12.5,gray,humanoid,False,Fighting,,75,80,55,35
533,gurdurr,1.2,40.0,gray,humanoid,False,Fighting,,85,105,85,40
534,conkeldurr,1.4,87.0,brown,humanoid,False,Fighting,,105,140,95,45
535,tympole,0.5,4.5,blue,fish,False,Water,,50,50,40,64
536,palpitoad,0.8,17.0,blue,upright,False,Water,Ground,75,65,55,69
537,seismitoad,1.5,62.0,blue,humanoid,False,Water,Ground,105,95,75,74
538,throh,1.3,55.5,red,humanoid,False,Fighting,,120,100,85,45
539,sawk,1.4,51.0,blue,humanoid,False,Fighting,,75,125,75,85
540,sewaddle,0.3,2.5,yellow,armor,False,Bug,Grass,45,53,70,42
541,swadloon,0.5,7.3,green,arms,False,Bug,Grass,55,63,90,42
542,leavanny,1.2,20.5,yellow,humanoid,False,Bug,Grass,75,103,80,92
543,venipede,0.4,5.3,red,armor,False,Bug,Poison,30,45,59,57
544,whirlipede,1.2,58.5,gray,ball,False,Bug,Poison,40,55,99,47
545,scolipede,2.5,200.5,red,armor,False,Bug,Poison,60,100,89,112
546,cottonee,0.3,0.6,green,ball,False,Grass,Fairy,40,27,60,66
547,whimsicott,0.7,6.6,green,humanoid,False,Grass,Fairy,60,67,85,116
548,petilil,0.5,6.6,green,blob,False,Grass,,45,35,50,30
549,lilligant,1.1,16.3,green,blob,False,Grass,,70,60,75,90
550,basculin,1.0,18.0,green,fish,False,Water,,70,92,65,98
551,sandile,0.7,15.2,brown,quadruped,False,Ground,Dark,50,72,35,65
552,krokorok,1.0,33.4,brown,quadruped,False,Ground,Dark,60,82,45,74
553,krookodile,1.5,96.3,red,upright,False,Ground,Dark,95,117,80,92
554,darumaka,0.6,37.5,red,humanoid,False,Fire,,70,90,45,50
555,darmanitan,1.3,92.9,red,quadruped,False,Fire,,105,140,55,95
556,maractus,1.0,28.0,green,blob,False,Grass,,75,86,67,60
557,dwebble,0.3,14.5,red,armor,False,Bug,Rock,50,65,85,55
558,crustle,1.4,200.0,red,armor,False,Bug,Rock,70,105,125,45
559,scraggy,0.6,11.8,yellow,upright,False,Dark,Fighting,50,75,70,48
560,scrafty,1.1,30.0,red,upright,False,Dark,Fighting,65,90,115,58
561,sigilyph,1.4,14.0,black,wings,False,Psychic,Flying,72,58,80,97
562,yamask,0.5,1.5,black,arms,False,Ghost,,38,30,85,30
563,cofagrigus,1.7,76.5,yellow,blob,False,Ghost,,58,50,145,30
564,tirtouga,0.7,16.5,blue,quadruped,False,Water,Rock,54,78,103,22
565,carracosta,1.2,81.0,blue,upright,False,Water,Rock,74,108,133,32
566,archen,0.5,9.5,yellow,wings,False,Rock,Flying,55,112,45,70
567,archeops,1.4,32.0,yellow,wings,False,Rock,Flying,75,140,65,110
568,trubbish,0.6,31.0,green,humanoid,False,Poison,,50,50,62,65
569,garbodor,1.9,107.3,green,humanoid,False,Poison,,80,95,82,75
570,zorua,0.7,12.5,gray,quadruped,False,Dark,,40,65,40,65
571,zoroark,1.6,81.1,gray,upright,False,Dark,,60,105,60,105
572,minccino,0.4,5.8,gray,quadruped,False,Normal,,55,50,40,75
573,cinccino,0.5,7.5,gray,quadruped,False,Normal,,75,95,60,115
574,gothita,0.4,5.8,purple,humanoid,False,Psychic,,45,30,50,45
575,gothorita,0.7,18.0,purple,humanoid,False,Psychic,,60,45,70,55
576,gothitelle,1.5,44.0,purple,humanoid,False,Psychic,,70,55,95,65
577,solosis,0.3,1.0,green,ball,False,Psychic,,45,30,40,20
578,duosion,0.6,8.0,green,ball,False,Psychic,,65,40,50,30
579,reuniclus,1.0,20.1,green,arms,False,Psychic,,110,65,75,30
580,ducklett,0.5,5.5,blue,wings,False,Water,Flying,62,44,50,55
581,swanna,1.3,24.2,white,wings,False,Water,Flying,75,87,63,98
582,vanillite,0.4,5.7,white,blob,False,Ice,,36,50,50,44
583,vanillish,1.1,41.0,white,blob,False,Ice,,51,65,65,59
584,vanilluxe,1.3,57.5,white,heads,False,Ice,,71,95,85,79
585,deerling,0.6,19.5,pink,quadruped,False,Normal,Grass,60,60,50,75
586,sawsbuck,1.9,92.5,brown,quadruped,False,Normal,Grass,80,100,70,95
587,emolga,0.4,5.0,white,quadruped,False,Electric,Flying,55,75,60,103
588,karrablast,0.5,5.9,blue,humanoid,False,Bug,,50,75,45,60
589,escavalier,1.0,33.0,gray,arms,False,Bug,Steel,70,135,105,20
590,foongus,0.2,1.0,white,arms,False,Grass,Poison,69,55,45,15
591,amoonguss,0.6,10.5,white,arms,False,Grass,Poison,114,85,70,30
592,frillish,1.2,33.0,white,tentacles,False,Water,Ghost,55,40,50,40
593,jellicent,2.2,135.0,white,tentacles,False,Water,Ghost,100,60,70,60
594,alomomola,1.2,31.6,pink,fish,False,Water,,165,75,80,65
595,joltik,0.1,0.6,yellow,armor,False,Bug,Electric,50,47,50,65
596,galvantula,0.8,14.3,yellow,armor,False,Bug,Electric,70,77,60,108
597,ferroseed,0.6,18.8,gray,ball,False,Grass,Steel,44,50,91,10
598,ferrothorn,1.0,110.0,gray,tentacles,False,Grass,Steel,74,94,131,20
599,klink,0.3,21.0,gray,heads,False,Steel,,40,55,70,30
600,klang,0.6,51.0,gray,heads,False,Steel,,60,80,95,50
601,klinklang,0.6,81.0,gray,heads,False,Steel,,60,100,115,90
602,tynamo,0.2,0.3,white,fish,False,Electric,,35,55,40,60
603,eelektrik,1.2,22.0,blue,fish,False,Electric,,65,85,70,40
604,eelektross,2.1,80.5,blue,fish,False,Electric,,85,115,80,50
605,elgyem,0.5,9.0,blue,upright,False,Psychic,,55,55,55,30
606,beheeyem,1.0,34.5,brown,humanoid,False,Psychic,,75,75,75,40
607,litwick,0.3,3.1,white,blob,False,Ghost,Fire,50,30,55,20
608,lampent,0.6,13.0,black,arms,False,Ghost,Fire,60,40,60,55
609,chandelure,1.0,34.3,black,arms,False,Ghost,Fire,60,55,90,80
610,axew,0.6,18.0,green,upright,False,Dragon,,46,87,60,57
611,fraxure,1.0,36.0,green,upright,False,Dragon,,66,117,70,67
612,haxorus,1.8,105.5,yellow,upright,False,Dragon,,76,147,90,97
613,cubchoo,0.5,8.5,white,upright,False,Ice,,55,70,40,40
614,beartic,2.6,260.0,white,quadruped,False,Ice,,95,130,80,50
615,cryogonal,1.1,148.0,blue,ball,False,Ice,,80,50,50,105
616,shelmet,0.4,7.7,red,ball,False,Bug,,50,40,85,25
617,accelgor,0.8,25.3,red,arms,False,Bug,,80,70,40,145
618,stunfisk,0.7,11.0,brown,fish,False,Ground,Electric,109,66,84,32
619,mienfoo,0.9,20.0,yellow,upright,False,Fighting,,45,85,50,65
620,mienshao,1.4,35.5,purple,upright,False,Fighting,,65,125,60,105
621,druddigon,1.6,139.0,red,upright,False,Dragon,,77,120,90,48
622,golett,1.0,92.0,green,humanoid,False,Ground,Ghost,59,74,50,35
623,golurk,2.8,330.0,green,humanoid,False,Ground,Ghost,89,124,80,55
624,pawniard,0.5,10.2,red,humanoid,False,Dark,Steel,45,85,70,60
625,bisharp,1.6,70.0,red,humanoid,False,Dark,Steel,65,125,100,70
626,bouffalant,1.6,94.6,brown,quadruped,False,Normal,,95,110,95,55
627,rufflet,0.5,10.5,white,wings,False,Normal,Flying,70,83,50,60
628,braviary,1.5,41.0,red,wings,False,Normal,Flying,100,123,75,80
629,vullaby,0.5,9.0,brown,wings,False,Dark,Flying,70,55,75,60
630,mandibuzz,1.2,39.5,brown,wings,False,Dark,Flying,110,65,105,80
631,heatmor,1.4,58.0,red,upright,False,Fire,,85,97,66,65
632,durant,0.3,33.0,gray,armor,False,Bug,Steel,58,109,112,109
633,deino,0.8,17.3,blue,quadruped,False,Dark,Dragon,52,65,50,38
634,zweilous,1.4,50.0,blue,quadruped,False,Dark,Dragon,72,85,70,58
635,hydreigon,1.8,160.0,blue,upright,False,Dark,Dragon,92,105,90,98
636,larvesta,1.1,28.8,white,armor,False,Bug,Fire,55,85,55,60
637,volcarona,1.6,46.0,white,bug-wings,False,Bug,Fire,85,60,65,100
638,cobalion,2.1,250.0,blue,quadruped,False,Steel,Fighting,91,90,129,108
639,terrakion,1.9,260.0,gray,quadruped,False,Rock,Fighting,91,129,90,108
640,virizion,2.0,200.0,green,quadruped,False,Grass,Fighting,91,90,72,108
641,tornadus,1.5,63.0,green,arms,False,Flying,,79,115,70,111
642,thundurus,1.5,61.0,blue,arms,False,Electric,Flying,79,115,70,111
643,reshiram,3.2,330.0,white,wings,False,Dragon,Fire,100,120,100,90
644,zekrom,2.9,345.0,black,upright,False,Dragon,Electric,100,150,120,90
645,landorus,1.5,68.0,brown,arms,False,Ground,Flying,89,125,90,101
646,kyurem,3.0,325.0,gray,upright,False,Dragon,Ice,125,130,90,95
647,keldeo,1.4,48.5,yellow,quadruped,False,Water,Fighting,91,72,90,108
648,meloetta,0.6,6.5,white,humanoid,False,Normal,Psychic,100,77,77,90
649,genesect,1.5,82.5,purple,humanoid,False,Bug,Steel,71,120,95,99
650,chespin,0.4,9.0,green,upright,False,Grass,,56,61,65,38
651,quilladin,0.7,29.0,green,upright,False,Grass,,61,78,95,57
652,chesnaught,1.6,90.0,green,upright,False,Grass,Fighting,88,107,122,64
653,fennekin,0.4,9.4,red,quadruped,False,Fire,,40,45,40,60
654,braixen,1.0,14.5,red,upright,False,Fire,,59,59,58,73
655,delphox,1.5,39.0,red,upright,False,Fire,Psychic,75,69,72,104
656,froakie,0.3,7.0,blue,quadruped,False,Water,,41,56,40,71
657,frogadier,0.6,10.9,blue,humanoid,False,Water,,54,63,52,97
658,greninja,1.5,40.0,blue,humanoid,False,Water,Dark,72,95,67,122
659,bunnelby,0.4,5.0,brown,upright,False,Normal,,38,36,38,57
660,diggersby,1.0,42.4,brown,upright,False,Normal,Ground,85,56,77,78
661,fletchling,0.3,1.7,red,wings,False,Normal,Flying,45,50,43,62
662,fletchinder,0.7,16.0,red,wings,False,Fire,Flying,62,73,55,84
663,talonflame,1.2,24.5,red,wings,False,Fire,Flying,78,81,71,126
664,scatterbug,0.3,2.5,black,armor,False,Bug,,38,35,40,35
665,spewpa,0.3,8.4,black,blob,False,Bug,,45,22,60,29
666,vivillon,1.2,17.0,white,bug-wings,False,Bug,Flying,80,52,50,89
667,litleo,0.6,13.5,brown,quadruped,False,Fire,Normal,62,50,58,72
668,pyroar,1.5,81.5,brown,quadruped,False,Fire,Normal,86,68,72,106
669,flabebe,0.1,0.1,white,arms,False,Fairy,,44,38,39,42
670,floette,0.2,0.9,white,arms,False,Fairy,,54,45,47,52
671,florges,1.1,10.0,white,arms,False,Fairy,,78,65,68,75
672,skiddo,0.9,31.0,brown,quadruped,False,Grass,,66,65,48,52
673,gogoat,1.7,91.0,brown,quadruped,False,Grass,,123,100,62,68
674,pancham,0.6,8.0,white,upright,False,Fighting,,67,82,62,43
675,pangoro,2.1,136.0,white,humanoid,False,Fighting,Dark,95,124,78,58
676,furfrou,1.2,28.0,white,quadruped,False,Normal,,75,80,60,102
677,espurr,0.3,3.5,gray,upright,False,Psychic,,62,48,54,68
678,meowstic,0.6,8.5,blue,upright,False,Psychic,,74,48,76,104
679,honedge,0.8,2.0,brown,blob,False,Steel,Ghost,45,80,100,28
680,doublade,0.8,4.5,brown,heads,False,Steel,Ghost,59,110,150,35
681,aegislash,1.7,53.0,brown,blob,False,Steel,Ghost,60,50,150,60
682,spritzee,0.2,0.5,pink,arms,False,Fairy,,78,52,60,23
683,aromatisse,0.8,15.5,pink,humanoid,False,Fairy,,101,72,72,29
684,swirlix,0.4,3.5,white,legs,False,Fairy,,62,48,66,49
685,slurpuff,0.8,5.0,white,humanoid,False,Fairy,,82,80,86,72
686,inkay,0.4,3.5,blue,tentacles,False,Dark,Psychic,53,54,53,45
687,malamar,1.5,47.0,blue,blob,False,Dark,Psychic,86,92,88,73
688,binacle,0.5,31.0,brown,heads,False,Rock,Water,42,52,67,50
689,barbaracle,1.3,96.0,brown,heads,False,Rock,Water,72,105,115,68
690,skrelp,0.5,7.3,brown,blob,False,Poison,Water,50,60,60,30
691,dragalge,1.8,81.5,brown,blob,False,Poison,Dragon,65,75,90,44
692,clauncher,0.5,8.3,blue,armor,False,Water,,50,53,62,44
693,clawitzer,1.3,35.3,blue,squiggle,False,Water,,71,73,88,59
694,helioptile,0.5,6.0,yellow,upright,False,Electric,Normal,44,38,33,70
695,heliolisk,1.0,21.0,yellow,upright,False,Electric,Normal,62,55,52,109
696,tyrunt,0.8,26.0,brown,upright,False,Rock,Dragon,58,89,77,48
697,tyrantrum,2.5,270.0,red,upright,False,Rock,Dragon,82,121,119,71
698,amaura,1.3,25.2,blue,quadruped,False,Rock,Ice,77,59,50,46
699,aurorus,2.7,225.0,blue,quadruped,False,Rock,Ice,123,77,72,58
700,sylveon,1.0,23.5,pink,quadruped,False,Fairy,,95,65,65,60
701,hawlucha,0.8,21.5,green,humanoid,False,Fighting,Flying,78,92,75,118
702,dedenne,0.2,2.2,yellow,upright,False,Electric,Fairy,67,58,57,101
703,carbink,0.3,5.7,gray,ball,False,Rock,Fairy,50,50,150,50
704,goomy,0.3,2.8,purple,squiggle,False,Dragon,,45,50,35,40
705,sliggoo,0.8,17.5,purple,squiggle,False,Dragon,,68,75,53,60
706,goodra,2.0,150.5,purple,upright,False,Dragon,,90,100,70,80
707,klefki,0.2,3.0,gray,ball,False,Steel,Fairy,57,80,91,75
708,phantump,0.4,7.0,brown,arms,False,Ghost,Grass,43,70,48,38
709,trevenant,1.5,71.0,brown,tentacles,False,Ghost,Grass,85,110,76,56
710,pumpkaboo,0.4,5.0,brown,ball,False,Ghost,Grass,49,66,70,51
711,gourgeist,0.9,12.5,brown,blob,False,Ghost,Grass,65,90,122,84
712,bergmite,1.0,99.5,blue,quadruped,False,Ice,,55,69,85,28
713,avalugg,2.0,505.0,blue,quadruped,False,Ice,,95,117,184,28
714,noibat,0.5,8.0,purple,wings,False,Flying,Dragon,40,30,35,55
715,noivern,1.5,85.0,purple,wings,False,Flying,Dragon,85,70,80,123
716,xerneas,3.0,215.0,blue,quadruped,False,Fairy,,126,131,95,99
717,yveltal,5.8,203.0,red,wings,False,Dark,Flying,126,131,95,99
718,zygarde,5.0,305.0,green,squiggle,False,Dragon,Ground,108,100,121,95
719,diancie,0.7,8.8,pink,arms,False,Rock,Fairy,50,100,150,50
720,hoopa,0.5,9.0,purple,arms,False,Psychic,Ghost,80,110,60,70
721,volcanion,1.7,195.0,brown,quadruped,False,Fire,Water,80,110,120,70
722,rowlet,0.3,1.5,brown,wings,False,Grass,Flying,68,55,55,42
723,dartrix,0.7,16.0,brown,wings,False,Grass,Flying,78,75,75,52
724,decidueye,1.6,36.6,brown,wings,False,Grass,Ghost,78,107,75,70
725,litten,0.4,4.3,red,quadruped,False,Fire,,45,65,40,70
726,torracat,0.7,25.0,red,quadruped,False,Fire,,65,85,50,90
727,incineroar,1.8,83.0,red,upright,False,Fire,Dark,95,115,90,60
728,popplio,0.4,7.5,blue,fish,False,Water,,50,54,54,40
729,brionne,0.6,17.5,blue,fish,False,Water,,60,69,69,50
730,primarina,1.8,44.0,blue,fish,False,Water,Fairy,80,74,74,60
731,pikipek,0.3,1.2,black,wings,False,Normal,Flying,35,75,30,65
732,trumbeak,0.6,14.8,black,wings,False,Normal,Flying,55,85,50,75
733,toucannon,1.1,26.0,black,wings,False,Normal,Flying,80,120,75,60
734,yungoos,0.4,6.0,brown,quadruped,False,Normal,,48,70,30,45
735,gumshoos,0.7,14.2,brown,quadruped,False,Normal,,88,110,60,45
